State_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,White,Black,Native_American,Asian,Hispanic,ALE,All_Death,Unhealthy_Days,Major_Depression,Recent_Drug_Use,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,MVA,Stroke,Suicide,Injury,,
05,Baxter,Arkansas,AR,40330,73,5525,7582,22101,9195,39523,121,202,161,403,77,362,7,1123,868,10042,28997,9155,13632,10244,4114,10002,9357,63278,28634,12422,31054,9881,9034,,
05,Benton,Arkansas,AR,186938,221,18694,50847,112537,20750,175348,2056,2991,3552,23554,78,1452,6,21743,19483,41687,144690,40192,47482,40005,10842,48791,38509,415937,96647,37014,92908,24676,32340,,
05,Boone,Arkansas,AR,35793,61,5476,8411,21261,5333,34970,107,251,143,537,77,321,6,835,694,11239,27883,8483,10881,8984,2398,7409,7803,79138,24124,10201,24447,4939,6693,,
05,Bradley,Arkansas,AR,12192,19,2475,2853,7254,1817,8681,3438,37,12,1244,73,132,7,97,85,3767,10229,3072,0,2890,1036,2731,2487,34064,8681,3499,13667,1085,4182,,
05,Calhoun,Arkansas,AR,5589,9,810,1313,3415,727,4281,1297,0,0,117,73,57,6,20,17,0,0,0,0,0,196,1397,1146,11117,4505,2342,4197,0,1392,,
05,Carroll,Arkansas,AR,26999,43,4158,6480,16226,3834,26270,81,189,189,3645,77,223,6,472,394,7749,20438,5670,0,7695,1377,6669,5562,39959,14147,6993,18656,3942,6237,,
05,Chicot,Arkansas,AR,13027,20,3635,3387,7595,1772,5888,7022,0,78,521,74,148,6,107,96,4364,0,2853,0,3569,2032,3830,3478,30626,8598,4729,9914,1277,3869,,
05,Clark,Arkansas,AR,22916,26,3942,5592,14048,2773,17256,5110,115,252,894,76,224,7,341,361,6875,17187,4767,6256,3712,1444,6371,4950,52890,14093,6600,17164,2292,6073,,
05,Clay,Arkansas,AR,16578,26,2835,3813,9599,2702,16280,50,116,33,166,75,171,8,180,148,6482,12732,4924,0,5736,1691,3349,4426,46899,14058,6499,11356,2172,4874,,
05,Cleburne,Arkansas,AR,25391,46,3656,5205,14676,4926,24934,127,76,51,432,76,221,8,436,352,7465,18459,6373,8760,5561,2184,5688,4672,31002,16580,7262,39432,4240,5840,,
