State_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,White,Black,Native_American,Asian,Hispanic,ALE,All_Death,Unhealthy_Days,Major_Depression,Recent_Drug_Use,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,MVA,Stroke,Suicide,Injury
18,Grant,Indiana,IN,70557,170,12.5,25.6,58.6,13.6,90.5,7.2,0.4,0.6,2.7,75.5,958.5,6.2,4777,3243,27.1,80.4,33.2,34.5,27.8,8.7,29.3,20.7,211.5,68.4,18.6,52.4,14.1,26.1
18,Greene,Indiana,IN,33479,62,10.9,25,60,12.8,98.8,0.1,0.3,0.2,0.9,76.4,898.9,8.9,2276,1416,29.3,81.3,28.7,-1111.1,26.2,11.2,18.8,25.5,228.3,68.5,18.5,50.3,12.6,19
18,Hamilton,Indiana,IN,240685,605,3.6,29.9,62.5,6.7,91.9,3.1,0.2,3.6,2.4,79.1,751.1,4.3,15309,10183,16.4,76.3,20,18.6,16.9,4.8,16.6,16.6,109.2,50.2,9.9,57.6,9.5,13
18,Hancock,Indiana,IN,63138,206,5,26.1,62,10.5,96.5,1.3,0.2,0.7,1.2,77.3,845.7,6.8,4227,2701,24.3,82.7,20.7,18.8,20.5,6.5,17.3,16.6,184.4,61.4,15.8,55.5,13.9,19.8
18,Harrison,Indiana,IN,36827,76,8.1,25.2,63.1,10.4,98.4,0.6,0.3,0.2,1.4,76.8,940.2,6.1,2498,1588,28,82.8,28.9,18.6,26.7,7.7,35.2,18.6,219.1,73.8,25.6,58.7,8.9,19.8
18,Hendricks,Indiana,IN,127483,312,4.6,26.8,63.3,8.7,93.9,3.7,0.2,1.2,2,78.1,810.2,6.4,8464,5595,22.1,74.1,23.4,26.1,23.8,5.2,23.8,21.2,156.1,58.2,12.6,43.4,10.3,13.1
18,Henry,Indiana,IN,47244,120,9.5,24.4,59.6,13.7,98.2,1,0.2,0.3,0.9,75.8,939.7,7.5,3232,1955,31,81.8,30.1,-1111.1,26.8,8.6,27.9,18.5,164.1,66.8,20.5,85,11.5,22.1
18,Howard,Indiana,IN,84977,290,10.3,26.5,59.6,12.1,90.2,7,0.4,1,2,75.8,1005.9,6.4,5656,3518,23.6,79.1,25.8,28.6,24.3,9.2,26.6,23.7,192.7,66,17.1,72.4,10.1,24.4
18,Huntington,Indiana,IN,38236,100,7.6,26,59.1,12.5,98.2,0.3,0.4,0.5,1,77.2,845.4,6.8,2568,1673,26.2,79.6,24,-1111.1,22.3,8.8,31.1,24.5,173.9,60,15.7,70.7,7.2,20.1
18,Jackson,Indiana,IN,42237,83,8.8,26.1,60.4,11.6,97.9,0.7,0.2,0.8,4.3,76.2,933.7,7.5,2822,1753,28.9,83,25.1,27.1,31.4,7.4,24.6,20.3,182.7,67.1,15.5,100.5,10,20.4
18,Jasper,Indiana,IN,31876,57,7.4,27.2,59.8,11.1,98.8,0.6,0.1,0.2,3.7,77.6,838.7,6.6,2111,1431,26.4,-1111.1,27.9,20.5,26.5,9,28.6,30,165.3,68.4,18.4,55.9,8.7,19.3
18,Jay,Indiana,IN,21606,56,10.9,28,57,12.6,98.5,0.3,0.2,0.6,2.3,76,933.9,5.7,1410,879,35.7,78.8,27.3,-1111.1,25.2,12.7,23.1,23.7,193,59,27.5,63.7,15.3,21.4
18,Jefferson,Indiana,IN,32430,90,10.3,25.2,61.1,11.9,96.6,1.6,0.3,0.7,1.2,75.7,954.9,7.8,2204,1436,23,80.5,26.9,-1111.1,35.7,5.7,25.9,27,226.3,70.7,21.7,82,14.2,22.8
18,Jennings,Indiana,IN,28427,75,9.8,27.7,61.4,9.7,98,0.9,0.2,0.3,0.9,74.7,1011.8,8.6,1863,1196,35.4,88.1,23.8,-1111.1,28.9,10.3,20,26.8,200,81.8,20.9,89.5,9.5,33.2
18,Johnson,Indiana,IN,128436,401,7,27.1,61.6,10.1,97,1.2,0.2,1,1.9,77.6,899.6,6.1,8499,5558,25.4,81.6,22.5,23.7,27,6.3,25,17,198.4,55.3,12.1,59.6,10.5,14
